id_ticket,fecha_creacion,fecha_cierre,id_usuario,id_analista,categoria,prioridad,estado,sla_horas,tiempo_resolucion,sede,canal
1,2026-06-04,2026-06-05 06:00:00,484,7,Office 365,Media,Abierto,48,30,Barranquilla,Chat
2,2026-03-15,2026-03-16 01:00:00,489,17,Accesos,Crítica,Resuelto,48,25,Pereira,Chat
3,2026-05-11,2026-05-11 14:00:00,253,16,Office 365,Baja,Cerrado,48,14,Medellín,Teams
4,2026-04-07,2026-04-09 02:00:00,321,16,Equipos,Media,Cerrado,8,50,Bogotá,Teléfono
5,2024-09-27,2024-09-29 04:00:00,272,17,Equipos,Crítica,Cerrado,24,52,Cali,Teams
6,2025-08-21,2025-08-21 22:00:00,38,18,Hardware,Media,Cerrado,48,22,Pereira,Portal
7,2024-11-12,2024-11-12 09:00:00,68,15,Office 365,Alta,Cerrado,8,9,Barranquilla,Chat
8,2024-06-29,2024-07-01 03:00:00,270,1,Telefonía,Alta,Abierto,48,51,Cali,Teléfono
9,2025-05-31,2025-05-31 12:00:00,334,4,Impresoras,Baja,Abierto,8,12,Cali,Portal
10,2025-10-12,2025-10-12 07:00:00,129,14,Equipos,Media,En Proceso,12,7,Pereira,Teams
11,2025-11-08,2025-11-08 09:00:00,217,5,Base de Datos,Media,Abierto,4,9,Barranquilla,Teléfono
12,2025-03-06,2025-03-06 06:00:00,202,8,VPN,Media,Resuelto,48,6,Bucaramanga,Chat
13,2025-11-26,2025-11-26 09:00:00,480,10,Software,Crítica,Abierto,24,9,Cali,Teams
14,2025-03-29,2025-03-30 20:00:00,409,9,Correo,Alta,Abierto,12,44,Pereira,Chat
15,2026-05-17,2026-05-18 16:00:00,319,4,Base de Datos,Alta,Resuelto,8,40,Bogotá,Correo
16,2026-03-27,2026-03-27 11:00:00,188,1,Telefonía,Crítica,Abierto,24,11,Cali,Portal
17,2024-09-11,2024-09-13 05:00:00,10,8,Impresoras,Media,Cerrado,12,53,Bogotá,Portal
18,2025-06-16,2025-06-17 23:00:00,172,7,Office 365,Media,Resuelto,12,47,Pereira,Teams
19,2025-02-02,2025-02-03 01:00:00,205,6,Hardware,Baja,Resuelto,12,25,Pereira,Teams
20,2025-03-09,2025-03-11 12:00:00,229,9,Impresoras,Alta,Resuelto,12,60,Cali,Chat
21,2026-01-12,2026-01-12 11:00:00,145,3,Hardware,Crítica,En Proceso,24,11,Cali,Chat
22,2025-09-19,2025-09-22 00:00:00,443,5,Telefonía,Alta,En Proceso,24,72,Barranquilla,Teams
23,2025-04-03,2025-04-03 18:00:00,229,17,Office 365,Baja,Resuelto,48,18,Medellín,Teams
24,2025-07-07,2025-07-07 07:00:00,294,13,SAP,Alta,En Proceso,4,7,Bucaramanga,Portal
25,2024-10-26,2024-10-27 05:00:00,320,18,Telefonía,Alta,En Proceso,12,29,Barranquilla,Teléfono
26,2025-10-10,2025-10-13 00:00:00,164,8,Hardware,Media,Resuelto,48,72,Medellín,Teléfono
27,2025-11-06,2025-11-06 17:00:00,204,1,Correo,Media,En Proceso,4,17,Bogotá,Correo
28,2025-01-09,2025-01-10 01:00:00,100,1,Base de Datos,Baja,En Proceso,48,25,Pereira,Portal
29,2025-05-05,2025-05-06 00:00:00,475,13,Telefonía,Media,En Proceso,24,24,Bogotá,Portal
30,2024-11-29,2024-12-01 03:00:00,118,9,Telefonía,Media,Abierto,24,51,Cali,Correo
31,2025-08-31,2025-08-31 12:00:00,3,4,Impresoras,Media,Cerrado,8,12,Bogotá,Portal
32,2025-12-05,2025-12-05 01:00:00,351,2,Office 365,Alta,Abierto,24,1,Bucaramanga,Teams
33,2024-06-23,2024-06-25 17:00:00,135,19,Hardware,Baja,En Proceso,4,65,Medellín,Correo
34,2025-12-02,2025-12-03 09:00:00,462,2,Telefonía,Alta,Cerrado,8,33,Bucaramanga,Portal
35,2024-12-24,2024-12-24 16:00:00,103,4,Software,Crítica,Abierto,12,16,Bucaramanga,Correo
36,2026-02-13,2026-02-13 09:00:00,57,8,Accesos,Crítica,Abierto,8,9,Pereira,Teams
37,2025-06-26,2025-06-26 15:00:00,336,18,Base de Datos,Baja,En Proceso,48,15,Medellín,Teléfono
38,2026-04-10,2026-04-12 01:00:00,185,2,Software,Baja,Abierto,4,49,Medellín,Portal
39,2025-11-05,2025-11-05 01:00:00,392,2,Correo,Crítica,Abierto,12,1,Bucaramanga,Correo
40,2025-09-06,2025-09-06 08:00:00,52,6,Correo,Alta,Resuelto,48,8,Bucaramanga,Teléfono
41,2026-05-30,2026-06-01 21:00:00,32,9,Correo,Crítica,En Proceso,48,69,Bogotá,Teléfono
42,2025-09-09,2025-09-10 05:00:00,446,8,Base de Datos,Media,Resuelto,48,29,Medellín,Portal
43,2025-12-08,2025-12-08 10:00:00,12,3,VPN,Crítica,Resuelto,48,10,Medellín,Teams
44,2025-01-27,2025-01-29 01:00:00,67,19,Base de Datos,Crítica,Abierto,4,49,Cali,Chat
45,2025-01-28,2025-01-28 18:00:00,225,8,Impresoras,Media,Cerrado,12,18,Cali,Correo
46,2024-08-08,2024-08-08 12:00:00,154,5,SAP,Baja,En Proceso,8,12,Bucaramanga,Teams
47,2025-11-25,2025-11-27 14:00:00,483,6,Base de Datos,Alta,Cerrado,12,62,Barranquilla,Teams
48,2025-10-24,2025-10-26 23:00:00,222,4,Red,Media,Abierto,12,71,Cali,Teléfono
49,2025-09-23,2025-09-23 17:00:00,184,12,Equipos,Media,En Proceso,12,17,Bogotá,Portal
